LEN	1999-01-01	2099-12-31
LLY	1999-01-01	2099-12-31
LIN	1999-01-01	2099-12-31
LMT	1999-01-01	2099-12-31
L	1999-01-01	2099-12-31
LOW	1999-01-01	2099-12-31
MTB	1999-01-01	2099-12-31
MAR	1999-01-01	2099-12-31
MRSH	1999-01-01	2099-12-31
MAS	1999-01-01	2099-12-31
MA	1999-01-01	2099-12-31
MKC	1999-01-01	2099-12-31
MCD	1999-01-01	2099-12-31
MCK	1999-01-01	2099-12-31
MDT	1999-01-01	2099-12-31
MRK	1999-01-01	2099-12-31
META	1999-01-01	2099-12-31
MET	1999-01-01	2099-12-31
MCHP	1999-01-01	2099-12-31
MU	1999-01-01	2099-12-31
MSFT	1999-01-01	2099-12-31
TAP	1999-01-01	2099-12-31
MCO	1999-01-01	2099-12-31
MS	1999-01-01	2099-12-31
MSI	1999-01-01	2099-12-31
NDAQ	1999-01-01	2099-12-31
NTAP	1999-01-01	2099-12-31
NEM	1999-01-01	2099-12-31
NEE	1999-01-01	2099-12-31
NKE	1999-01-01	2099-12-31
NI	1999-01-01	2099-12-31
NSC	1999-01-01	2099-12-31
NTRS	1999-01-01	2099-12-31
NOC	1999-01-01	2099-12-31
NRG	1999-01-01	2099-12-31
NUE	1999-01-01	2099-12-31
NVDA	1999-01-01	2099-12-31
ORLY	1999-01-01	2099-12-31
OXY	1999-01-01	2099-12-31
OMC	1999-01-01	2099-12-31
OKE	1999-01-01	2099-12-31
ORCL	1999-01-01	2099-12-31
PCAR	1999-01-01	2099-12-31
PSKY	1999-01-01	2099-12-31
PH	1999-01-01	2099-12-31
PAYX	1999-01-01	2099-12-31
PEP	1999-01-01	2099-12-31
PFE	1999-01-01	2099-12-31
PM	1999-01-01	2099-12-31
PNW	1999-01-01	2099-12-31
PNC	1999-01-01	2099-12-31
PPG	1999-01-01	2099-12-31
PPL	1999-01-01	2099-12-31
PFG	1999-01-01	2099-12-31
PG	1999-01-01	2099-12-31
PGR	1999-01-01	2099-12-31
PLD	1999-01-01	2099-12-31
PRU	1999-01-01	2099-12-31
PEG	1999-01-01	2099-12-31
PSA	1999-01-01	2099-12-31
PHM	1999-01-01	2099-12-31
PWR	1999-01-01	2099-12-31
QCOM	1999-01-01	2099-12-31
DGX	1999-01-01	2099-12-31
RL	1999-01-01	2099-12-31
RTX	1999-01-01	2099-12-31
RF	1999-01-01	2099-12-31
RSG	1999-01-01	2099-12-31
RVTY	1999-01-01	2099-12-31
ROK	1999-01-01	2099-12-31
ROP	1999-01-01	2099-12-31
ROST	2009-12-18	2099-12-31
SPGI	1999-01-01	2099-12-31
CRM	2008-09-12	2099-12-31
SLB	1999-01-01	2099-12-31
SRE	1999-01-01	2099-12-31
SHW	1999-01-01	2099-12-31
SPG	1999-01-01	2099-12-31
SJM	1999-01-01	2099-12-31
SW	1999-01-01	2099-12-31
SNA	1999-01-01	2099-12-31
SO	1999-01-01	2099-12-31
LUV	1999-01-01	2099-12-31
SWK	1999-01-01	2099-12-31
SBUX	2000-06-07	2099-12-31
STT	1999-01-01	2099-12-31
SYK	1999-01-01	2099-12-31
SYY	1999-01-01	2099-12-31
TROW	1999-01-01	2099-12-31
TPR	1999-01-01	2099-12-31
TGT	1999-01-01	2099-12-31
TXN	1999-01-01	2099-12-31
TXT	1999-01-01	2099-12-31
TMO	1999-01-01	2099-12-31
TJX	1999-01-01	2099-12-31
TT	1999-01-01	2099-12-31
TRV	1999-01-01	2099-12-31
TFC	1999-01-01	2099-12-31
TSN	1999-01-01	2099-12-31
USB	1999-01-01	2099-12-31
UNP	1999-01-01	2099-12-31
UPS	1999-01-01	2099-12-31
UNH	1999-01-01	2099-12-31
VLO	1999-01-01	2099-12-31
VTR	2009-03-03	2099-12-31
VRSN	1999-01-01	2099-12-31
VZ	1999-01-01	2099-12-31
VTRS	1999-01-01	2099-12-31
V	2009-12-18	2099-12-31
VMC	1999-01-01	2099-12-31
GWW	1999-01-01	2099-12-31
WMT	1999-01-01	2099-12-31
DIS	1999-01-04	2099-12-31
WM	1999-01-01	2099-12-31
WAT	1999-01-01	2099-12-31
WEC	1999-01-01	2099-12-31
WFC	1999-01-01	2099-12-31
WELL	1999-01-01	2099-12-31
WDC	1999-01-01	2099-12-31
WY	1999-01-01	2099-12-31
WMB	1999-01-01	2099-12-31
WYNN	1999-01-01	2099-12-31
XEL	1999-01-01	2099-12-31
YUM	1999-01-01	2099-12-31
ZBH	1999-01-01	2099-12-31
AYE	1999-01-01	2026-08-10
AN	1999-01-01	2026-08-10
HNG	1999-01-01	2026-08-10
MCK	1999-01-01	2026-08-10
USL	1999-01-01	2026-08-10
SUN	1999-01-01	2026-08-10
GRN	1999-01-01	2026-08-10
EA	1999-01-01	2026-08-04
CAG	1999-01-01	2026-06-29
CPB	1999-01-01	2026-06-18
CTRA	1999-01-01	2026-05-06
